機構名稱,地址,x,y
佳譽堂中醫診所,臺北市中正區寧波西街71號,121.516998519014,25.030480556088
仲景中醫診所,臺北市中正區忠孝東路2段16號2樓,121.527329436114,25.043627765456
華御中醫診所,臺北市中正區濟南路2段51號,121.53105081893,25.040479753063
日明耀中醫診所,臺北市中正區重慶南路一段66之1號2樓之1,121.513097919031,25.043609090927
華陽中醫診所,臺北市中正區新生南路一段16之4號,121.532434240975,25.043212621637
益壽中醫診所,臺北市中正區寧波西街47號3樓,121.517847487864,25.0309787237
溫?中醫診所,臺北市中正區忠孝東路二段134巷16號2樓,121.5316285207,25.041076763647
李思儀中醫診所,臺北市中正區金山南路1段73巷6號,121.528457072584,25.037019660056
宏達中醫診所,臺北市中正區汀州路三段211號2樓,121.533653631269,25.014200328583
榮星中醫診所,臺北市中正區羅斯福路二段140號2樓之1,121.523045171449,25.02588645712
六節中醫診所,臺北市中正區汀州路二段198號,121.523289763692,25.022726236373
喜豐堂中醫診所,臺北市中正區博愛路88號(使用第一層),121.511388467764,25.044408346804
時代中醫診所,臺北市中正區羅斯福路三段272號10樓,121.531903645613,25.016810098576
天心中醫診所,臺北市中正區武昌街一段33號(1樓、2樓、3樓)、武昌街一段35號4樓,121.511998775981,25.044157602014
東門中醫診所,臺北市中正區連雲街81號2樓,121.530178124601,25.034316938585
茂澤中醫診所,臺北市中正區臨沂街6巷5號,121.53031478151,25.042534519171
汀洲中醫診所,臺北市中正區汀州路二段213號,121.522588442075,25.023577354896
厚德中醫診所,臺北市中正區南昌路一段53號,121.517292932598,25.031283024217
怡安堂中醫診所,臺北市中正區金山南路一段125號、125之1號,121.527819371099,25.035840853597
極上中醫診所,臺北市中正區汀州路三段105號,121.529753959258,25.016925957021
薛宏昇中醫診所,臺北市中正區忠孝東路一段176號4樓之2,121.526425835493,25.043860581124
彭燕婷中醫診所,臺北市中正區連雲街85號2樓,121.530157889965,25.0341509932
沂禾中醫診所,臺北市中正區臨沂街33巷38號,121.531655750338,25.039768199144
羅福中醫診所,臺北市中正區羅斯福路二段70號6樓之6,121.522044631347,25.027251810265
